"Timestamp","Borderlands 1","Borderlands 2","Borderlands Pre-Sequel ","Borderlands 3"
"2019/08/15 9:05:14 pm GMT+3","Lilith","Gaige","Athena","Moze"
"2019/08/15 9:05:16 pm GMT+3","Mordecai","Zer0","Athena","Zane"
"2019/08/15 9:06:15 pm GMT+3","Lilith","Maya","","Amara"
"2019/08/15 9:06:17 pm GMT+3","Mordecai","Gaige","Jack","Zane"
"2019/08/15 9:06:22 pm GMT+3","Roland","Zer0","Nisha","Amara"
"2019/08/15 9:06:46 pm GMT+3","Lilith","Maya","Nisha","Fl4k"
"2019/08/15 9:07:17 pm GMT+3","Brick","Krieg","Jack","Moze"
"2019/08/15 9:07:40 pm GMT+3","Mordecai","Krieg","Jack","Moze"
"2019/08/15 9:08:34 pm GMT+3","Mordecai","Maya","Aurelia","Amara"
"2019/08/15 9:08:51 pm GMT+3","Lilith","Zer0","Aurelia","Fl4k"
"2019/08/15 9:09:59 pm GMT+3","Mordecai","Salvador","Nisha","Fl4k"
"2019/08/15 9:10:06 pm GMT+3","","Maya","Athena","Amara"
"2019/08/15 9:10:17 pm GMT+3","Mordecai","Krieg","Aurelia","Fl4k"
"2019/08/15 9:10:18 pm GMT+3","Brick","Krieg","Athena","Zane"
"2019/08/15 9:10:30 pm GMT+3","Lilith","Maya","Athena","Moze"
"2019/08/15 9:10:33 pm GMT+3","Mordecai","Krieg","Jack","Moze"
"2019/08/15 9:11:05 pm GMT+3","Mordecai","Maya","Claptrap",""
"2019/08/15 9:11:05 pm GMT+3","Brick","Salvador","Claptrap","Moze"
"2019/08/15 9:11:07 pm GMT+3","Mordecai","Krieg","Claptrap","Fl4k"
"2019/08/15 9:11:13 pm GMT+3","Lilith","Zer0","Jack","Moze"
"2019/08/15 9:11:47 pm GMT+3","Mordecai","Gaige","Wilhelm","Fl4k"
"2019/08/15 9:11:56 pm GMT+3","Roland","Axton","Jack","Moze"
"2019/08/15 9:12:18 pm GMT+3","Mordecai","Maya","Nisha","Fl4k"
"2019/08/15 9:13:18 pm GMT+3","Roland","Axton","Athena","Moze"
"2019/08/15 9:13:31 pm GMT+3","Brick","Maya","Athena","Amara"
"2019/08/15 9:14:39 pm GMT+3","Brick","Zer0","Jack","Fl4k"
"2019/08/15 9:14:43 pm GMT+3","Lilith","Maya","Claptrap","Fl4k"
"2019/08/15 9:14:49 pm GMT+3","Mordecai","Zer0","Nisha","Zane"
"2019/08/15 9:15:23 pm GMT+3","Lilith","Gaige","Jack","Fl4k"
"2019/08/15 9:15:54 pm GMT+3","Brick","Maya","Athena","Moze"
"2019/08/15 9:16:43 pm GMT+3","Lilith","Maya","Jack","Amara"
"2019/08/15 9:16:46 pm GMT+3","Mordecai","Zer0","Jack","Fl4k"
"2019/08/15 9:16:59 pm GMT+3","Lilith","Gaige","Athena",""
"2019/08/15 9:17:03 pm GMT+3","Roland","Krieg","Wilhelm","Zane"
"2019/08/15 9:17:28 pm GMT+3","Roland","Axton","Jack","Fl4k"
"2019/08/15 9:17:46 pm GMT+3","Mordecai","Krieg","Claptrap","Moze"
"2019/08/15 9:18:04 pm GMT+3","Roland","Axton","Jack","Moze"
"2019/08/15 9:18:11 pm GMT+3","Lilith","Salvador","Jack","Fl4k"
"2019/08/15 9:18:14 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 9:18:44 pm GMT+3","Roland","Axton","Jack","Zane"
"2019/08/15 9:19:53 pm GMT+3","Roland","Krieg","Wilhelm","Fl4k"
"2019/08/15 9:20:14 pm GMT+3","Mordecai","Zer0","Nisha","Zane"
"2019/08/15 9:20:59 pm GMT+3","","Gaige","Aurelia","Fl4k"
"2019/08/15 9:21:03 pm GMT+3","Mordecai","Axton","Jack","Fl4k"
"2019/08/15 9:21:10 pm GMT+3","Roland","Gaige","Nisha","Moze"
"2019/08/15 9:21:21 pm GMT+3","Lilith","Gaige","Wilhelm","Amara"
"2019/08/15 9:21:21 pm GMT+3","Mordecai","Gaige","Jack","Moze"
"2019/08/15 9:21:45 pm GMT+3","Roland","Maya","Jack","Amara"
"2019/08/15 9:23:20 pm GMT+3","Lilith","Axton","Athena","Zane"
"2019/08/15 9:23:26 pm GMT+3","Mordecai","Gaige","Jack","Fl4k"
"2019/08/15 9:23:47 pm GMT+3","Brick","Salvador","Wilhelm","Fl4k"
"2019/08/15 9:24:16 pm GMT+3","Mordecai","Zer0","Wilhelm","Fl4k"
"2019/08/15 9:24:40 pm GMT+3","Lilith","Gaige","Claptrap","Fl4k"
"2019/08/15 9:24:56 pm GMT+3","Lilith","Salvador","Nisha","Zane"
"2019/08/15 9:26:12 pm GMT+3","Lilith","Axton","Nisha","Moze"
"2019/08/15 9:26:14 pm GMT+3","Mordecai","Zer0","Aurelia","Amara"
"2019/08/15 9:26:21 pm GMT+3","","Gaige","","Zane"
"2019/08/15 9:26:34 pm GMT+3","Brick","Gaige","Athena","Moze"
"2019/08/15 9:26:48 pm GMT+3","Roland","Salvador","Wilhelm","Moze"
"2019/08/15 9:27:23 pm GMT+3","Mordecai","Maya","Claptrap","Amara"
"2019/08/15 9:27:42 pm GMT+3","Brick","Krieg","Jack","Fl4k"
"2019/08/15 9:28:16 pm GMT+3","Lilith","Salvador","Nisha","Fl4k"
"2019/08/15 9:28:48 pm GMT+3","Mordecai","Salvador","Jack","Zane"
"2019/08/15 9:28:55 pm GMT+3","Lilith","Gaige","","Amara"
"2019/08/15 9:29:06 pm GMT+3","Lilith","Salvador","Claptrap","Zane"
