"id","vote_mean","budget_mean","revenue_mean","popularity_mean","popularity_sum","vote_sum","name"
49767,7.5,7500000,1.9e+07,25.281197,25.281197,7.5,"Frederick Lau"
49824,7.1,6e+06,10566543.5,3.4962385,6.992477,14.2,"Kathryn Erbe"
49914,5.45,3e+07,182234591.5,25.524542,51.049084,10.9,"Cameron Richardson"
49915,4.9,0,18112929,20.649145,20.649145,4.9,"Jesse McCartney"
49918,6.76666666666667,77666666.6666667,222942500.666667,40.176838,120.530514,20.3,"Charlie Tahan"
49961,5.725,17750000,17488297.25,11.97535925,47.901437,22.9,"Michelle Trachtenberg"
49971,5.85,24500000,296288658.5,55.463894,110.927788,11.7,"Jennifer Ehle"
50020,5.9,10400000,126605083,31.094308,62.188616,11.8,"Scott Patterson"
50094,5.8,3e+07,114908830,26.69592,26.69592,5.8,"Ken Kirzinger"
50095,5.95,1.5e+07,57454415,14.3221775,28.644355,11.9,"Jason Ritter"
50346,5,8500000,34411240,4.844451,4.844451,5,"Shiri Appleby"
50347,5.1,4.5e+07,30353232,14.513243,14.513243,5.1,"Rachel Nichols"
50398,5.725,25500000,18706983.5,14.91661075,59.666443,22.9,"Devon Sawa"
50463,5.76,55200000,103893939.8,29.8035362,149.017681,28.8,"Malin Åkerman"
50583,5.5,0,0,0.472123,0.472123,5.5,"Adam Rifkin"
50807,6.7,5e+06,0,4.070044,4.070044,6.7,"Michael Richards"
50877,5.5,0,0,2.636193,2.636193,5.5,"Jill Hennessy"
50994,6,34500000,13964781,5.6856715,11.371343,12,"Unax Ugalde"
51072,5.5,22518750,26911215.25,16.405379625,131.243037,44,"Kate Mara"
51100,6.5,2.5e+07,0,17.375562,17.375562,6.5,"Gad Elmaleh"
51214,6.1,0,240405.5,3.715287,7.430574,12.2,"Brad Renfro"
51297,6.1,6.5e+07,64321501,15.194239,15.194239,6.1,"Jonah Bobo"
51298,5.68571428571429,23142857.1428571,36525760.7142857,13.4221221428571,93.954855,39.8,"Dax Shepard"
51329,6.30769230769231,34984615.3846154,168136681.769231,41.5393383076923,540.011398,82,"Bradley Cooper"
51359,4.7,3.3e+07,0,2.706207,2.706207,4.7,"Lela Rochon"
51381,5.6,8e+06,0,9.782433,9.782433,5.6,"Michael Weston"
51383,7.3,5e+06,5476793,19.940245,19.940245,7.3,"Tyler Labine"
51384,5.5,0,0,0.631571,0.631571,5.5,"Missy Yager"
51390,5.1,2.1e+07,17762705,4.781538,4.781538,5.1,"Emily Bergl"
51391,5.45,19166666.6666667,43577073.3333333,8.331547,49.989282,32.7,"Frankie Muniz"
51508,7.9,0,20374201,14.038703,14.038703,7.9,"JoeyStarr"
