"endTime","artistName","trackName","msPlayed"
"2019-01-02 08:35:00","Queen","Love Of My Life - Remastered 2011",217386
"2019-01-02 09:01:00","Freddie Mercury","Guide Me Home - Alternative Version",53377
"2019-01-02 16:47:00","The Rolling Stones","Wild Horses",150660
"2019-01-02 16:47:00","Queen","Love Of My Life - Remastered 2011",217386
"2019-01-02 16:55:00","Freddie Mercury","The Golden Boy - Early Version: Freddie's Demo Vocal",13244
"2019-01-02 16:55:00","Led Zeppelin","Since I've Been Loving You - 1990 Remaster",444148
"2019-01-02 17:00:00","Led Zeppelin","What Is and What Should Never Be - 1990 Remaster",283973
"2019-01-02 17:04:00","Supertramp","Crime Of The Century - Remastered",19894
"2019-01-02 17:04:00","Electric Light Orchestra","Ticket to the Moon",247400
"2019-01-02 17:08:00","Pink Floyd","Us And Them - 2011 Remastered Version",21909
"2019-01-02 17:08:00","Queen","Love Of My Life - Remastered 2011",217386
"2019-01-02 17:16:00","Pink Floyd","Us And Them - 2011 Remastered Version",469224
"2019-01-02 17:17:00","The Doors","Blue Sunday",43535
"2019-01-02 17:25:00","Led Zeppelin","Stairway to Heaven - Remaster",480327
"2019-01-02 17:30:00","Led Zeppelin","Going to California - Remaster",205075
"2019-01-02 17:37:00","Billy Joel","Captain Jack",437040
"2019-01-02 17:37:00","Elvis Presley","Viva Las Vegas",24776
"2019-01-02 17:42:00","Led Zeppelin","Ramble On - 1990 Remaster",263333
"2019-01-02 17:48:00","Billy Joel","Piano Man",336093
"2019-01-02 17:53:00","Dire Straits","On Every Street",303560
"2019-01-02 18:00:00","Led Zeppelin","No Quarter - 2007 Remaster",422680
"2019-01-02 18:03:00","Supertramp","Breakfast In America - Remastered",159346
"2019-01-02 18:07:00","Supertramp","Oh Darling - 2010 Remastered",242413
"2019-01-02 18:13:00","Supertramp","Take The Long Way Home - 2010 Remastered",308853
"2019-01-02 18:15:00","Supertramp","Lord Is It Mine - 2010 Remastered",132773
"2019-01-02 18:18:00","The Beatles","Here Comes The Sun - Remastered 2009",185733
"2019-01-02 18:19:00","The Beatles","You Never Give Me Your Money - Remastered 2009",54781
"2019-01-02 18:23:00","Aloe Blacc","I Need A Dollar",243053
"2019-01-02 18:49:00","Oasis","Hello - Remastered",203186
"2019-01-02 23:18:00","The Kooks","Bad Habit",220901
"2019-01-02 23:22:00","The Kooks","It Was London",193293
"2019-01-02 23:26:00","The Kooks","Bad Habit",203470
"2019-01-02 23:29:00","The Strokes","Taken for a Fool",203240
"2019-01-02 23:30:00","John Lennon","Happy Xmas (War Is Over) - Remastered",16328
"2019-01-02 23:33:00","The Neighbourhood","Cry Baby",235160
"2019-01-02 23:38:00","The Neighbourhood","Daddy Issues",260173
"2019-01-02 23:42:00","The Neighbourhood","Greetings from Califournia",244040
"2019-01-02 23:43:00","The Neighbourhood","Ferrari",66600
"2019-01-02 23:44:00","The Neighbourhood","R.I.P. 2 My Youth",24997
"2019-01-02 23:48:00","The Neighbourhood","Flawless",246493
"2019-01-02 23:49:00","The Neighbourhood","Female Robbery",50496
"2019-01-02 23:59:00","Queen","Death On Two Legs (Dedicated To...) - Remastered 2011",82818
"2019-01-03 11:30:00","The Kooks","Bad Habit",217668
"2019-01-03 11:33:00","The Kooks","It Was London",193293
"2019-01-03 11:35:00","Queen","Lazing On A Sunday Afternoon - Remastered 2011",67400
"2019-01-03 11:38:00","Queen","'39 - 2011 Mix",200356
"2019-01-03 11:41:00","Queen","Under Pressure - Remastered",35702
"2019-01-03 11:41:00","Queen","Crazy Little Thing Called Love - Remastered 2011",163373
"2019-01-03 11:43:00","Queen","Lazing On A Sunday Afternoon - Remastered 2011",67400
"2019-01-03 11:46:00","Queen","'39 - 2011 Mix",210800
"2019-01-03 11:49:00","Queen","You're My Best Friend - Remastered 2011",170786
"2019-01-03 11:53:00","Queen","'39 - 2011 Mix",210800
"2019-01-03 11:57:00","Queen","Sweet Lady - Remastered 2011",242120
"2019-01-03 11:59:00","Queen","Seaside Rendezvous - Remastered 2011",134120
"2019-01-03 12:04:00","Queen","The Prophet's Song - Remastered 2011",282142
"2019-01-03 12:07:00","Queen","Love Of My Life - Remastered 2011",217386
"2019-01-03 12:08:00","Queen","Good Company - Remastered 2011",64403
"2019-01-03 12:14:00","Queen","Bohemian Rhapsody - 2011 Mix",354320
"2019-01-03 12:16:00","Queen","God Save The Queen - Remastered 2011",75333
"2019-01-03 12:20:00","Queen","Keep Yourself Alive - Long Lost Retake / June 1975 / Remastered 2011",244386
"2019-01-03 12:21:00","Queen","Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix",63440
"2019-01-03 12:24:00","Queen","You’re My Best Friend - Backing Track Mix",177880
"2019-01-03 12:25:00","Queen","I’m In Love With My Car - Guitar & Vocal Mix / 2011",23883
"2019-01-03 13:58:00","Rammstein","Sonne",272440
"2019-01-03 14:01:00","Rammstein","Feuer frei!",188600
"2019-01-03 14:05:00","Rammstein","Engel",264266
"2019-01-03 14:09:00","Rammstein","Ich will",217106
"2019-01-03 14:13:00","Rammstein","AMERIKA",226760
"2019-01-03 14:17:00","Rammstein","Mein Herz brennt",279893
"2019-01-03 14:21:00","Rammstein","ICH TU DIR WEH",205893
"2019-01-03 17:57:00","Dire Straits","On Every Street",18400
"2019-01-03 18:17:00","The Black Keys","Weight of Love",410186
"2019-01-03 18:21:00","The Black Keys","In Time",268120
"2019-01-03 18:25:00","The Black Keys","Turn Blue",222960
"2019-01-03 18:29:00","The Black Keys","Fever",246306
"2019-01-03 18:33:00","The Black Keys","Year in Review",228120
"2019-01-03 18:37:00","The Black Keys","Bullet in the Brain",255946
"2019-01-03 18:40:00","The Black Keys","It's Up to You Now",190720
"2019-01-03 18:44:00","The Black Keys","Waiting on Words",217120
"2019-01-03 18:48:00","The Black Keys","10 Lovers",213226
"2019-01-03 18:52:00","The Black Keys","In Our Prime",278106
"2019-01-03 18:54:00","The Black Keys","Gotta Get Away",67316
"2019-01-03 18:59:00","Pink Floyd","Wish You Were Here - 2011 Remastered Version",334743
"2019-01-03 19:03:00","Pink Floyd","Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",238746
"2019-01-03 19:05:00","Pink Floyd","Comfortably Numb - 2011 Remastered Version",103269
"2019-01-03 19:11:00","Pink Floyd","Money - 2011 Remastered Version",382834
"2019-01-03 19:18:00","Pink Floyd","Time - 2011 Remastered Version",413947
"2019-01-03 19:21:00","Pink Floyd","Breathe (In The Air) - 2011 Remastered Version",169534
"2019-01-03 19:26:00","Pink Floyd","Hey You - 2011 Remastered Version",278440
"2019-01-03 19:31:00","Pink Floyd","The Great Gig In The Sky - 2011 Remastered Version",283872
"2019-01-03 19:38:00","Pink Floyd","Us And Them - 2011 Remastered Version",469224
"2019-01-03 20:42:00","Pink Floyd","Brain Damage - 2011 Remastered Version",117606
"2019-01-03 21:12:00","Kings of Leon","Sex on Fire",203346
"2019-01-03 21:16:00","Kings of Leon","Closer",237480
"2019-01-03 21:20:00","Kings of Leon","Crawl",246413
"2019-01-03 21:23:00","Kings of Leon","Sex on Fire",203346
"2019-01-03 21:27:00","Kings of Leon","Use Somebody",230760
"2019-01-03 21:31:00","Kings of Leon","Manhattan",204226
"2019-01-03 21:34:00","Kings of Leon","Revelry",201733
"2019-01-03 21:37:00","Kings of Leon","17",185373
"2019-01-03 21:40:00","Kings of Leon","Notion",180840
"2019-01-03 21:45:00","Kings of Leon","I Want You",307453
"2019-01-03 21:49:00","Kings of Leon","Be Somebody",227146
"2019-01-03 21:55:00","Kings of Leon","Cold Desert",334706
"2019-01-03 21:58:00","Kings of Leon","Around The World",214040
"2019-01-03 22:02:00","Arctic Monkeys","Do Me a Favour",209253
"2019-01-03 22:06:00","Editors","Ocean of Night",27170
"2019-01-03 22:06:00","Franz Ferdinand","Take Me Out",237026
"2019-01-03 22:10:00","Cage The Elephant","Cold Cold Cold",214386
"2019-01-03 22:13:00","Arctic Monkeys","R U Mine?",201726
"2019-01-03 22:14:00","The Strokes","Welcome To Japan",83280
"2019-01-03 22:15:00","The Strokes","Welcome To Japan",16126
"2019-01-03 22:18:00","Boney M.","Rasputin",220666
"2019-01-03 22:22:00","The Kooks","Bad Habit",198425
"2019-01-03 22:25:00","ABBA","Gimme! Gimme! Gimme! (A Man After Midnight)",194101
"2019-01-03 22:28:00","Dolly Parton","Jolene",161533
"2019-01-03 22:31:00","Dimmu Borgir","Interdimensional Summit",16380
"2019-01-03 22:31:00","Wolfgang Sauer","Warum strahlen heut' Nacht die Sterne so hell",134745
"2019-01-03 22:32:00","Dimmu Borgir","Interdimensional Summit",13838
"2019-01-03 22:33:00","Dimmu Borgir","Mourning Palace",51017
"2019-01-03 22:37:00","Bishop Briggs","The Fire",183173
"2019-01-03 22:41:00","James Bay","Pink Lemonade",252906
"2019-01-03 22:43:00","Halsey","Lie",126021
"2019-01-03 22:44:00","Kanye West","I Love Kanye",44826
"2019-01-03 22:47:00","Lady Gaga","John Wayne",174306
"2019-01-03 22:49:00","Lady Gaga","ScheiBe",99617
"2019-01-03 22:53:00","Rammstein","Du hast",234226
"2019-01-03 22:58:00","Rammstein","Sonne",255050
"2019-01-03 23:01:00","Red Hot Chili Peppers","Million Miles of Water",238480
"2019-01-03 23:05:00","Alex Turner","Stuck on the puzzle",211053
"2019-01-03 23:08:00","Alex Turner","Piledriver waltz",204880
"2019-01-03 23:12:00","Alex Turner","Hiding tonight",186720
"2019-01-03 23:16:00","Alex Turner","It's hard to get around the wind",247013
"2019-01-03 23:20:00","Alex Turner","Glass in the park",239653
"2019-01-03 23:21:00","Alex Turner","Stuck on the puzzle - intro",53760
"2019-01-03 23:22:00","Alex Turner","Stuck on the puzzle - intro",53760
"2019-01-03 23:25:00","Alex Turner","Glass in the park",18210
"2019-01-03 23:25:00","Alex Turner","Hiding tonight",186720
"2019-01-04 06:58:00","The Kooks","Bad Habit",194700
"2019-01-04 07:03:00","Arctic Monkeys","The View From The Afternoon",263716
"2019-01-04 07:04:00","Arctic Monkeys","Cigarette Smoker Fiona",80007
"2019-01-04 07:06:00","Arctic Monkeys","You Probably Couldn't See For The Lights But You Were Staring Straight At Me",130813
"2019-01-04 07:09:00","Arctic Monkeys","Still Take You Home",173666
"2019-01-04 07:35:00","Portugal. The Man","Feel It Still",42726
